ReleaseDate,Metacritic,RecommendationCount,IsFree,GenreIsNonGame,GenreIsIndie,GenreIsAction,GenreIsAdventure,GenreIsCasual,GenreIsStrategy,GenreIsRPG,GenreIsSimulation,GenreIsEarlyAccess,GenreIsFreeToPlay,GenreIsSports,GenreIsRacing,GenreIsMassivelyMultiplayer,PriceInitial
2006-10-13,76,351,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.99
2006-10-13,91,851,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.99
2006-10-13,86,1307,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.99
2006-10-13,87,318,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.99
2008-03-12,81,2579,0,0,0,0,0,0,1,0,1,0,0,0,0,0,19.99
2008-03-12,82,109,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.99
2007-07-12,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,9.99
2008-03-12,74,181,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.99
2006-07-21,72,183,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.99
2006-07-21,71,280,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.99
2008-10-16,73,1262,0,0,0,1,0,0,1,0,1,0,0,0,0,0,15.99
2010-10-08,67,136,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4.99
2010-10-08,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4.99
2006-10-26,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.99
2006-10-26,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.99
2006-10-26,84,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.99
2006-12-21,76,2870,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9.99
2006-08-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.99
2006-08-24,82,116,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.99
2007-11-08,72,501,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.99
2008-10-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.99
2009-11-01,77,228,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.99
2009-11-19,82,308,0,0,0,0,0,0,1,1,0,0,0,0,0,0,9.99
2007-01-24,81,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.99
2007-08-06,57,103,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.99
2007-08-29,69,321,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4.99
2007-10-30,65,374,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.99
2006-08-30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.99
2006-08-30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.99
2006-08-30,0,414,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.99
2006-08-30,0,118,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.99
2006-08-30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.99
2006-08-30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.99
2006-08-30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.99
2006-08-30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.99
2006-08-30,0,159,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.99
2006-08-30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.99
2006-08-30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.99
2006-08-30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.99
2006-08-30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.99
2006-08-30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.99
2006-08-30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.99
2006-08-30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.99
2007-03-06,0,682,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.99
2007-09-11,0,618,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0
