,designation
Réserve Spéciale,15
Canoe Ridge Estate,15
District Collection,15
Garys' Vineyard,15
Flower Label,15
Sawmill Creek Vineyards,15
Oppenlander Vineyard,15
John Sebastiano Vineyard,15
Winemaker's Blend,15
Brunate,15
Villero,15
The Heritage Collection,15
Weir Vineyard,14
Viñas Viejas,14
Ferrington Vineyard,14
Brosseau Vineyard,14
Zotzenberg Grand Cru,14
Upland Vineyard,14
Brand Grand Cru,14
Select Terroir,14
La Réserve,14
Reserva Espiritu de Los Andes Estate Bottled,14
Barrica,14
DuBrul Vineyard,14
Thomas Barton Réserve,14
Private Selection,14
Graacher Himmelreich Kabinett,14
Famiglia Bianchi,14
Single Vineyard Reserva,14
Portillo Estate Bottled,14
Estate Riverbend Vineyard,14
Fermentado en Barrica,14
Proprietor's Special Reserve,14
Gran,14
Classique,14
Hacienda Araucano Reserva,14
Achleiten Smaragd,14
Artist Series,14
La Colina Vineyard,14
Olivet Lane Vineyard,14
Solomon Hills Vineyard,14
Sustainably Farmed Estate Grown and Bottled,14
Legado Reserva,14
Tributo Single Vineyard,14
Silvaspoons Vineyard,14
Pommard Clone,13
Bramare Marchiori Vineyard,13
Vielles Vignes,13
Bricco Ambrogio,13
Fincas,13
Presqu'ile Vineyard,13
Casa Grand Selection,13
Albamar,13
Pigmentum,13
Heideboden,13
Margheria,13
Private Bin,13
Phinny Hill Vineyard,13
Fronholz,13
Cerretta,13
Les Damodes Premier Cru,13
La Grande Cuvée,13
River Road Ranch,13
Foreshadow,13
Sibaris Reserva Especial,13
Semi-Sweet,13
Three Hills Cuvée,13
Loibenberg Smaragd,13
Superior,13
Sanford & Benedict Vineyard,13
Praepositus,13
Dierberg Vineyard,13
Murmur Vineyard,13
Lawrence Vineyards,13
Cuvée Engel,13
Zabala Vineyard,13
Lamm Reserve,13
Pepper Bridge Vineyard,13
Rocche di Castiglione,13
Passito,13
Lafond Vineyard,12
Cuvée Brut,12
High Elevation Collection,12
Reserve Estate Grown,12
Limited Reserve,12
Ancestral,12
Casal Garcia,12
Alain de la Treille,12
Sparkling,12
Les Preuses Grand Cru,12
Medalla Real Gran Reserva,12
Año Cero,12
Rouge,12
Papa Joe's Private Stash,12
Fiddlestix Vineyard,12
Evergreen Vineyard,12
Portrait,12
Duvarita Vineyard,12
Erdener Treppchen Kabinett,12
Rincon Vineyard,12
RiverBend Vineyard,12
Reserve Dry,12
Passeport,12
Northridge Vineyard,12
Cailloux Vineyard,12
Premier Cru Brut,12
Orzada,12
Estate Grown Reserve,12
Terra de Lobos,12
Lawrence Vineyard,12
Negre,12
Spiegel,12
Rodgers Creek Vineyard,12
Colson Canyon Vineyard,12
Vogelzang Vineyard,12
Blue Quail,12
Prima,12
Vendanges Tardives,12
Les Pucelles Premier Cru,11
La Paciencia Vineyard,11
Oregon,11
Whispering Angel,11
Käferberg Reserve,11
Zenith Vineyard,11
Dineen Vineyard,11
Clos Saint Urbain Rangen de Thann Grand Cru,11
Le,11
Evenstad Reserve,11
Gran Reserva de Los Andes,11
Flood Family Vineyards,11
Elsa Bianchi,11
Red Blend,11
Réserve Brut,11
Cuvée Vieilles Vignes,11
Prapò,11
Yarden,11
Winemaker's Cuvée,11
La Cruz Vineyard,11
Ascent,11
Xplorador,11
Basarin,11
Elerding Vineyard,11
Private Collection,11
Steingrubler Grand Cru,11
Coyote Canyon Vineyard,11
Naked,11
Falcon Series Estate,11
Steelhead Run Vineyard,11
Hugo,11
Secret Reserve,11
Heritage Reserve,11
Altenberg de Bergheim Grand Cru,11
Vaulorent Premier Cru,11
Croft Vineyard,11
Estate Bottled Reserve,11
Gattera,11
Kessler Grand Cru,11
Made with Organically Grown Grapes,11
Piesporter Goldtröpfchen Spätlese,11
Montersino,11
Ribeiro Santo,11
Casa,11
Estate Bottled Dry,11
Amplus,11
Bannockburn,11
Tribute,11
Casillero del Diablo Reserve,11
Pannobile,11
Barrel Reserve,11
Santenots Premier Cru,11
Les Folatières Premier Cru,11
Bernkasteler Badstube Auslese,11
Les Clans,11
Crucero Reserva,11
Wiebelsberg Grand Cru,11
Wild Eyed,10
Ribbon Springs Vineyard,10
Synthesis,10
Coast Range Estate,10
Bergkelder Selection,10
Marquês de Borba,10
Vaucoupin Premier Cru,10
Winemaker's,10
Nature,10
Nysa Vineyard,10
Les Chenevottes Premier Cru,10
Shake Ridge Vineyards,10
Domaine du Clos Frantin,10
Corral Creek Vineyards,10
Ex Anima,10
Grand Cru Blanc de Blancs Brut,10
Vitral Reserva,10
Vinhas Velhas,10
Hacienda Araucano Clos de Lolol,10
Saurus Patagonia,10
La Rinconada Vineyard,10
Sagemoor Vineyard,10
Sarmassa,10
Zotovich Vineyard,10
Marcarini,10
Adama,10
Copeland Vineyard,10
Lua Cheia em Vinhas Velhas,10
Alazan,10
Steinberg,10
Steinertal Smaragd,10
Sexton Vineyard,10
Serragrilli,10
Bernkasteler alte Badstube am Doctorberg Spätlese,10
Hendry Vineyard,10
Bechthold Vineyard,10
L'Excellence,10
First Edition,10
Ruster Ausbruch,10
Menguante,10
Domaine Danielle Laurent,10
Unwooded,10
Ribbon Ridge Estate,10
Tarima,10
Merlot,10
Aramis,10
California Series,10
Kirchberg de Barr Grand Cru,10
Guadalupe Vineyard,10
Artz Vineyard,10
Les Grèves Premier Cru,10
Trois Châteaux,10
Les Rugiens Premier Cru,10
Bush Vine,10
Brut Blanc de Blancs,10
Brut Reserve,10
Reserve Collection,10
Dry Rosé of,10
Kritt,10
Château de Selle,10
10-Years-Old Tawny,10
Rio Sordo,10
Puerto Viejo Reserve,10
L'Instant,10
Yauquen,10
Estate Rosé of,10
Ovello,10
Signature Selection,10
Clos des Mouches Premier Cru,10
Vinha Padre Pedro,10
Estate Grown Cave Fermented,10
Les Suchots Premier Cru,10
Osterberg Grand Cru,10
StoneTree Vineyard,10
Peters Vineyard,10
The Bully,10
Petit Bourgeois,10
Stonetree Vineyard,10
T.H. Terroir Hunter,10
Les Peuillets Premier Cru,10
Les Cailloux,10
Barriques,10
1300,10
Bordini,10
Stoney Vine Vineyard,10
Asili,10
Monte Cascas Reserva,10
J.D. Hurley,10
Brauneberger Juffer Spätlese,10
Pasionado,10
Monte Cascas Colheita,10
Reserva Tinto,10
The Y Series,10
Piesporter Michelsberg Kabinett,10
Gemischter Satz,10
Coastview Vineyard,10
Sparkling Rosé,10
Ritchie Vineyard,10
Spanish Springs Vineyard,10
Gran Corte,10
Schwarzer Adler,10
Red Oak Vineyard,10
Saralee's Vineyard,10
Winemaker's Select,10
Art Den Hoed Vineyard,9
Hyland Vineyard,9
Coleccion,9
Estate Grown and Bottled,9
Aristos,9
Premier Cuvée,9
Cabernet Sauvignon,9
Bernkasteler alte Badstube am Doctorberg Kabinett,9
Prestigio,9
True Grit Reserve,9
Bell Ranch Vineyard,9
Lumière,9
Cooper Ranch,9
Ried Schütt Smaragd,9
Rochioli Vineyard,9
Oriana,9
Bramare,9
Expression,9
Estate Wilridge Vineyard,9
Boya,9
Family Vintage,9
Vineyard Select,9
Les Demoiselles,9
Russian River Selection,9
Estate Grown & Bottled,9
Cascas Winemaker Selection,9
Réserve Grand Veneur,9
Harth,9
Ampakama,9
Berg Vogelsang,9
Malbec,9
Hirsch Vineyard,9
Lester Family Vineyard,9
Cannubi Boschis,9
La Serenne,9
Bucher Vineyard,9
Montecillo Vineyard,9
Senses,9
Legacy,9
Ürziger Würzgarten Spätlese,9
Les Baronnes,9
U Estate Grown,9
Alder Ridge Vineyard,9
Excellence,9
Boekenoogen Vineyard,9
Stone Corral Vineyard,9
Lia's Vineyard,9
Santa Digna,9
Ürziger Würzgarten Kabinett,9
Doctor's Vineyard,9
Unfined and Unfiltered,9
Protocolo,9
Arena Valley Vineyard,9
La Presa Vineyard,9
Red Table Wine,9
Syrah,9
Vieilles Vignes Sur Lie,9
Ciconia,9
Crucero,9
Split Rail Vineyard,9
Selected Terroir,9
Estates Reserve,9
Olson Estate Vineyard,9
Graacher Himmelreich Auslese,9
Icon,9
Monteagrelo,9
Wild Ferment,9
Clone 115,9
Lust & Laune,9
Nicholas Estate,9
T.H.,9
Small Lot,9
Passion,9
Evolution,9
Cape Winemakers Guild CWG,9
Guy Louis,9
Privada,9
Altitud,9
Roaring Meg,9
Tempranillo,9
Valmur Grand Cru,9
Lindsay's Vineyard,9
Ciel du Cheval,9
Maresh Vineyard,9
Clos Saint Landelin Vorbourg Grand Cru,9
Von den Terrassen,9
Sonnenglanz Grand Cru,9
Charles Heintz Vineyard,9
Les Romains,9
Adega de Pegões,9
Castellero,9
Legendary Estate Series,9
Frankstein Grand Cru,9
BDX,9
Père de Famille,9
Grist Vineyard,9
Cerequio,9
Gouleyant,9
Col Fondo,9
Esporão Reserva,9
Savoy Vineyard,9
Cuvée Silex,9
Mossfire Ranch,9
Duas Quintas Reserva,9
Herrenweg,9
Companhia das Lezírias Tyto Alba Vinhas Protegidas,9
Embruix,9
Benchmark,9
Catena Alta,9
Golden Reserve,9
La Palma,9
Brunus,8
Limerick Lane Vineyard,8
Turckheim,8
Pratt Vineyard,8
