iter	MultiClass
0	1.434826181
1	1.305764654
2	1.200576441
3	1.116253864
4	1.042161731
5	0.9808559107
6	0.9277764216
7	0.8843480993
8	0.851989871
9	0.8189192495
10	0.7864068765
11	0.7566755336
12	0.7280183707
13	0.705585522
14	0.6854193379
15	0.6665074463
16	0.6497707839
17	0.6344877984
18	0.6206500466
19	0.6069543863
20	0.5948186227
21	0.5822318834
22	0.570901447
23	0.5581465068
24	0.5529600252
25	0.5458455433
26	0.5358234886
27	0.5299916615
28	0.5232202067
29	0.511260904
30	0.505622985
31	0.4996296986
32	0.4917332308
33	0.4827384231
34	0.4775754352
35	0.4704874911
36	0.4661867042
37	0.4631356271
38	0.4571474251
39	0.4509087361
40	0.4481487079
41	0.4437294691
42	0.4400247938
43	0.4341976889
44	0.4314292424
45	0.4295205465
46	0.4248294889
47	0.4221085328
48	0.4206255363
49	0.4145529989
50	0.4087441102
51	0.4058900592
52	0.4016426498
53	0.3966582651
54	0.3939393334
55	0.3923698586
56	0.39043816
57	0.3850998554
58	0.382992818
59	0.3812186885
60	0.3756158636
61	0.3734094924
62	0.3722024901
63	0.3699478427
64	0.3672417076
65	0.3644528794
66	0.3616040265
67	0.3585913452
68	0.3547629801
69	0.3531373347
70	0.3506262735
71	0.3472079343
72	0.3452269875
73	0.3439476911
74	0.3417448199
75	0.3392051928
76	0.3376007911
77	0.3349043653
78	0.333510669
79	0.3314118773
80	0.3287986154
81	0.3274219953
82	0.3261198403
83	0.3239146845
84	0.3222592361
85	0.3207434742
86	0.3197405635
87	0.3183293196
88	0.3172928313
89	0.3159426935
90	0.3151110376
91	0.3142409987
92	0.312333327
93	0.3106536171
94	0.3082296859
95	0.3062483476
96	0.3043591723
97	0.3017998669
98	0.3009571543
99	0.299962653
100	0.2985724904
101	0.2967255907
102	0.2959027456
103	0.2928907358
104	0.2912570799
105	0.2906704798
106	0.2886110218
107	0.2851513418
108	0.2832261098
109	0.2825880749
110	0.2814295725
111	0.2793571414
112	0.278243307
113	0.2766733651
114	0.274368872
115	0.2712490723
116	0.2705048632
117	0.2666349358
118	0.2648228572
119	0.264454913
120	0.263005808
121	0.2624444336
122	0.2602723027
123	0.2589319502
124	0.2582012969
125	0.2563972605
126	0.2554461677
127	0.2549186728
128	0.2533768778
129	0.2517942297
130	0.2506008891
131	0.2497842122
132	0.2491407913
133	0.2482965186
134	0.2472394982
135	0.2464443354
136	0.2448313045
137	0.2426848935
138	0.2420594226
139	0.240978585
140	0.2402550215
141	0.2392120868
142	0.23841075
143	0.2367258329
144	0.2351038445
145	0.2339586492
146	0.2324987858
147	0.2310083628
148	0.2299805505
149	0.2285197568
150	0.2276367122
151	0.2270054481
152	0.2265756444
153	0.2258407816
154	0.2253641493
155	0.224005897
156	0.2235143415
157	0.2232661494
158	0.2220991769
159	0.2216007351
160	0.2209677276
161	0.2202858406
162	0.2196626477
163	0.2174189193
164	0.2168439808
165	0.2158024306
166	0.2152622063
167	0.2135992304
168	0.2129530725
169	0.2126850211
170	0.2117088819
171	0.2113221792
172	0.2109262827
173	0.2105977282
174	0.2101381542
175	0.2092581569
176	0.2079927005
177	0.2073841459
178	0.2065872392
179	0.2062242679
180	0.2049335184
181	0.2045778059
182	0.2044396393
183	0.2035600876
184	0.2030289127
185	0.2025817536
186	0.2019622572
187	0.2013260271
188	0.2007432687
189	0.1993387002
190	0.19913917
191	0.1984453798
192	0.1978377113
193	0.1974358846
194	0.1973005412
195	0.196448286
196	0.1963076387
197	0.1954560259
198	0.1941087606
199	0.193544404
200	0.193088824
201	0.1926956427
202	0.1920413492
203	0.1918945032
204	0.1916692826
205	0.1913265122
206	0.1904576441
207	0.1897936462
208	0.1895178257
209	0.1890500225
210	0.1883495951
211	0.1880960948
212	0.1874812611
213	0.1869957881
214	0.1868186838
215	0.1864875505
216	0.1861492696
217	0.1854777041
218	0.1850904263
219	0.184728099
220	0.1842689324
221	0.1829744753
222	0.1825959428
223	0.1820483663
224	0.1813640024
225	0.1810500908
226	0.1806673642
227	0.180465907
228	0.1799345243
229	0.1796689679
230	0.1786756971
231	0.1774119905
232	0.1769181072
233	0.1765604352
234	0.1759169549
235	0.1754528459
236	0.1751247911
237	0.1745774268
238	0.1739410149
239	0.1735670903
240	0.1733915466
241	0.1730475377
242	0.1725247554
243	0.1722339512
244	0.1717585023
245	0.1710726798
246	0.1706886514
247	0.1703149959
248	0.1700550359
249	0.1694853928
250	0.1692934497
251	0.1688260092
252	0.1685276484
253	0.168396191
254	0.1681430529
255	0.1676481762
256	0.1672105531
257	0.1668698825
258	0.1666413886
259	0.1659777986
260	0.1652132169
261	0.1647732859
262	0.1645693637
263	0.1639473427
264	0.1636531472
265	0.1629598501
266	0.1625441389
267	0.1624522785
268	0.1622436624
269	0.1618224914
270	0.1615354184
271	0.1609970339
272	0.1608645808
273	0.1604784651
274	0.1599517783
275	0.1589377572
276	0.1583684665
277	0.157607997
278	0.1574198719
279	0.1566464308
280	0.1560550432
281	0.1550468196
282	0.1546165818
283	0.1542287718
284	0.1539566026
285	0.1536969945
286	0.1532674919
287	0.1529232606
288	0.151968757
289	0.1518990531
290	0.1513719176
291	0.1510193091
292	0.1505183848
293	0.1502947649
294	0.1500796137
295	0.1496272869
296	0.149309258
297	0.1490238312
298	0.1486649965
299	0.1483284505
300	0.1479558909
301	0.1475143392
302	0.1472854865
303	0.1470200421
304	0.1466529456
305	0.1459018171
306	0.1456492181
307	0.1453796329
308	0.1451318094
309	0.1448576421
310	0.1446213936
311	0.1442288897
312	0.1436970865
313	0.1434692275
314	0.1432191505
315	0.1429680728
316	0.1428150321
317	0.142578205
318	0.1419732562
319	0.1417150652
320	0.141569018
321	0.1412152234
322	0.1409604196
323	0.1407061421
324	0.1404565135
325	0.1403229974
326	0.1399468991
327	0.1396060584
328	0.1394121557
329	0.139256144
330	0.1389802316
331	0.1387268243
332	0.1385411543
333	0.1378607967
334	0.1375929529
335	0.1373576131
336	0.1368379213
337	0.136365859
338	0.1359243748
339	0.135415859
340	0.1352185797
341	0.135052216
342	0.1348582021
343	0.1347281358
344	0.1345742872
345	0.1343738049
346	0.1342461887
347	0.1340564847
348	0.1337491187
349	0.1334012562
350	0.1329038224
351	0.1323775232
352	0.1320256251
353	0.131886516
354	0.1316714597
355	0.1312363476
356	0.1310870744
357	0.1308321803
358	0.1306702959
359	0.1302518289
360	0.1300176135
361	0.129897255
362	0.1297761384
363	0.1293812445
364	0.1291910261
365	0.1284779852
366	0.1282016706
367	0.1280032018
368	0.1277553435
369	0.127445368
370	0.1270888931
371	0.1267441691
372	0.1262944537
373	0.1261678722
374	0.1259924177
375	0.1257772837
376	0.1256488422
377	0.1252899985
378	0.1249880385
379	0.1247939713
380	0.124422227
381	0.1242301228
382	0.1240901334
383	0.1237427336
384	0.123611896
385	0.1234658846
386	0.1230699593
387	0.1220866315
388	0.1219271425
389	0.1207671912
390	0.1205928468
391	0.1201436874
392	0.1200747507
393	0.1198404051
394	0.1192187019
395	0.1190392971
396	0.1189471822
397	0.1186219611
398	0.1183558657
399	0.1181101338
400	0.117518039
401	0.1172668325
402	0.1168597817
403	0.1166986011
404	0.1164544736
405	0.1162028038
406	0.1160284046
407	0.1159529932
408	0.1155654458
409	0.114863991
410	0.114696992
411	0.1144596901
412	0.1142307283
413	0.1138766192
414	0.1136626388
415	0.1134982227
416	0.113289602
417	0.1129844851
418	0.1128359874
419	0.1125982489
420	0.112429431
421	0.1121953005
422	0.1115334181
423	0.1113546349
424	0.1109844011
425	0.1109205973
426	0.1107303493
427	0.110593419
428	0.1103479091
429	0.1100642243
430	0.1098222731
431	0.1096066248
432	0.1093418822
433	0.1092048844
434	0.1090689114
435	0.1089167688
436	0.1088199305
437	0.108736314
438	0.108641389
439	0.1082908628
440	0.108142562
441	0.10793999
442	0.1077839839
443	0.1076431165
444	0.107339874
445	0.10715424
446	0.1069476482
447	0.1065685469
448	0.1064249863
449	0.1058528165
450	0.1056027772
451	0.1054515044
452	0.1053450524
453	0.1051945473
454	0.1048675331
455	0.1047311103
456	0.1046524418
457	0.1043683102
458	0.1041354002
459	0.1036697015
460	0.1035286013
461	0.1033303665
462	0.1032422972
463	0.1030730581
464	0.1030187106
465	0.1028094424
466	0.1027539411
467	0.1025113119
468	0.1025071981
469	0.1022831368
470	0.1021944027
471	0.1020259313
472	0.1018618193
473	0.1016477502
474	0.1014801544
475	0.1010885247
476	0.1008948556
477	0.1006180214
478	0.1004457572
479	0.09994227183
480	0.09981181369
481	0.09960893165
482	0.0994986846
483	0.09930482667
484	0.09911071342
485	0.09893601038
486	0.09880106963
487	0.09872093577
488	0.09865148647
489	0.09852825953
490	0.09827334826
491	0.09804442695
492	0.09787826006
493	0.09764145121
494	0.09751897904
495	0.09736271321
496	0.09718244948
497	0.09678092875
498	0.09660133026
499	0.0964966675
500	0.0962107414
501	0.09612184774
502	0.09594870449
503	0.09587154967
504	0.09573147629
505	0.09544219318
506	0.09523913343
507	0.09505272587
508	0.0949591423
509	0.09464332356
510	0.09438795062
511	0.09427501627
512	0.09418184781
513	0.09400760083
514	0.09382947127
515	0.09370874772
516	0.09359884367
517	0.09345544912
518	0.09338608278
519	0.09328159073
520	0.09306686645
521	0.09287581164
522	0.09275976384
523	0.09266739241
524	0.09260792128
